iter	MultiClass
222	0.2407596716
223	0.2399760769
224	0.2391823574
225	0.238110447
226	0.2375155082
227	0.2365461978
228	0.2357117101
229	0.2352964837
230	0.2346935593
231	0.2340359524
232	0.233176411
233	0.2325810821
234	0.2318408129
235	0.2312507587
236	0.2306292056
237	0.2300998266
238	0.2295226083
239	0.2291285163
240	0.2284115829
241	0.2275612576
242	0.227299234
243	0.2268089706
244	0.2261028661
245	0.2254536131
246	0.2251070466
247	0.2244972982
248	0.2240762554
249	0.2234732283
250	0.2229347437
251	0.2223720191
252	0.2217828822
253	0.2210919495
254	0.2206794905
255	0.2199447951
256	0.2193497753
257	0.2190845667
258	0.2185837877
259	0.2178533786
260	0.2172308031
261	0.216526717
262	0.216125307
263	0.2154311255
264	0.2150399814
265	0.2145807623
266	0.2140765405
267	0.2133983999
268	0.2128227844
269	0.2124853575
270	0.2121140758
271	0.2117099999
272	0.2111475039
273	0.210640529
274	0.2101216007
275	0.2096749354
276	0.2093566725
277	0.2088553097
278	0.2083745316
279	0.2079658691
280	0.2075465557
281	0.2070432876
282	0.2066473153
283	0.2063165691
284	0.2058732864
285	0.2053617271
286	0.2049786154
287	0.2044040917
288	0.2039126402
289	0.203565758
290	0.2032740233
291	0.2027768986
292	0.202238526
293	0.2020310248
294	0.2014842942
295	0.2010890483
296	0.2007818917
297	0.200336565
298	0.1998483189
299	0.1994636553
300	0.1990883062
301	0.1989198231
302	0.1984931947
303	0.1980293532
304	0.1976268621
305	0.1974707072
306	0.1968871087
307	0.1963034433
308	0.1958856902
309	0.1955308005
310	0.1951422518
311	0.1945420136
312	0.194197907
313	0.1939643706
314	0.1937215701
315	0.193202441
316	0.1929325239
317	0.1924018675
318	0.1922255239
319	0.1919705341
320	0.1916918091
321	0.1912998124
322	0.1910151302
323	0.1905983621
324	0.1902375185
325	0.189836993
326	0.1896061323
327	0.189072794
328	0.1886802858
329	0.1883683458
330	0.1879353425
331	0.187718031
332	0.187390229
333	0.1870397422
334	0.1867016926
335	0.1864445946
336	0.1860772943
337	0.1857901315
338	0.1854763691
339	0.1851806247
340	0.184833549
341	0.1845819444
342	0.1844184756
343	0.1840221792
344	0.1836492238
345	0.1833168274
346	0.1829204499
347	0.1826138783
348	0.1821233186
349	0.1817293407
350	0.1815278074
351	0.1812026384
352	0.1809231794
353	0.1806187399
354	0.1802106891
355	0.1798911518
356	0.1794626586
357	0.1791327943
358	0.1787550021
359	0.1784018999
360	0.1781822565
361	0.1777340824
362	0.1774228302
363	0.1771796925
364	0.1768889375
365	0.1765674093
366	0.1763137982
367	0.1758703568
368	0.175542167
369	0.175256818
370	0.1750055352
371	0.1747898798
372	0.1743054887
373	0.1740921223
374	0.1736849694
375	0.173292703
376	0.1730127971
377	0.1728539518
378	0.1724798759
379	0.1720357577
380	0.1718655042
381	0.1716440993
382	0.1712957965
383	0.1709683693
384	0.1706202748
385	0.1700876068
386	0.1696976034
387	0.1695124711
388	0.1692366081
389	0.1689325653
390	0.168681076
391	0.1684791154
392	0.1681663715
393	0.167922082
394	0.167766654
395	0.1675565615
396	0.1673660085
397	0.1671340173
398	0.1669017534
399	0.1667839858
400	0.1665701225
401	0.1660907243
402	0.1657906415
403	0.1655414298
404	0.1653058259
405	0.1651992835
406	0.1648886538
407	0.1647282169
408	0.1644244547
409	0.1642070303
410	0.1639340253
411	0.1636922043
412	0.1634890277
413	0.1632811106
414	0.1629714679
415	0.1626825877
416	0.1625534362
417	0.1622428728
418	0.161883201
419	0.161549845
420	0.161267368
421	0.1608643361
422	0.1606741769
423	0.1605186203
424	0.1603040814
425	0.1600045081
426	0.159712839
427	0.1595834643
428	0.1592615321
429	0.1589262983
430	0.1587051309
431	0.1585417751
432	0.1582911797
433	0.1581533193
434	0.1578497436
435	0.157731545
436	0.157455884
437	0.1571056658
438	0.1567439977
439	0.156472367
440	0.1561011296
441	0.1558808758
442	0.1557067101
443	0.1554575973
444	0.1552163308
445	0.154897652
446	0.1547604638
447	0.1545863914
448	0.1544198312
449	0.1542918893
450	0.154137835
451	0.153996093
452	0.1537731393
453	0.1536190995
454	0.1533484201
455	0.1532469915
456	0.1529870747
457	0.1525770973
458	0.1523959381
459	0.1521532638
460	0.1519987148
461	0.1517735519
462	0.151559715
463	0.1514065785
464	0.1512185353
465	0.1510667689
466	0.1508361935
467	0.1505980884
468	0.150347127
469	0.1500819156
470	0.1496449053
471	0.1494502873
472	0.14927883
473	0.1491692055
474	0.149054174
475	0.1488832922
476	0.1485909294
477	0.1483786103
478	0.1481957404
479	0.1479074144
480	0.1476230467
481	0.1474400652
482	0.1472380968
483	0.1470680802
484	0.1469612272
485	0.1467706747
486	0.1466309943
487	0.1465181732
488	0.1463471083
489	0.1462543353
490	0.1460167924
491	0.1458176904
492	0.1456392929
493	0.1455010433
494	0.145344306
495	0.1451857544
496	0.1450458112
497	0.1447869216
498	0.1447297528
499	0.1445127029
